COMPANY,PLAN,PREMIUM_CRORES,PREMIUM,NOP,LIVES_COVERED,MONTH,YEAR,DATE,ATS
ADITYA BIRLA SUN LIFE,Individual Non-Single Premium,81.09,810891744.7,67871,NULL,NOV,2011,11/1/2011,11947
ADITYA BIRLA SUN LIFE,Group Single Premium,0.2,1971219,0,68,NOV,2011,11/1/2011,NULL
ADITYA BIRLA SUN LIFE,Group Non-Single Premium,40.43,404329932.1,32,35302,NOV,2011,11/1/2011,12635310
ADITYA BIRLA SUN LIFE,Individual Single Premium,10.95,109485045,326,NULL,MAR,2012,3/1/2012,335843
ADITYA BIRLA SUN LIFE,Individual Non-Single Premium,231.73,2317287275,121359,NULL,MAR,2012,3/1/2012,19094
ADITYA BIRLA SUN LIFE,Group Single Premium,0.5,5027141.96,0,107,MAR,2012,3/1/2012,NULL
ADITYA BIRLA SUN LIFE,Group Non-Single Premium,178.52,1785192000,77,164631,MAR,2012,3/1/2012,23184311
ADITYA BIRLA SUN LIFE,Individual Single Premium,1.15,11478190.39,90,NULL,SEP,2012,9/1/2012,127535
ADITYA BIRLA SUN LIFE,Individual Non-Single Premium,82.23,822338308.6,37022,NULL,SEP,2012,9/1/2012,22212
ADITYA BIRLA SUN LIFE,Group Single Premium,0.44,4362740.67,0,86,SEP,2012,9/1/2012,NULL
ADITYA BIRLA SUN LIFE,Group Non-Single Premium,40.63,406335462.6,38,24587,SEP,2012,9/1/2012,10693038
ADITYA BIRLA SUN LIFE,Individual Single Premium,2.23,22290535.8,41,NULL,DEC,2014,12/1/2014,543671
ADITYA BIRLA SUN LIFE,Individual Non-Single Premium,59.19,591943256,26683,NULL,DEC,2014,12/1/2014,22184
ADITYA BIRLA SUN LIFE,Group Single Premium,0.87,8735454.69,0,435,DEC,2014,12/1/2014,NULL
ADITYA BIRLA SUN LIFE,Group Non-Single Premium,229.67,2296691598,57,79396,DEC,2014,12/1/2014,40292835
ADITYA BIRLA SUN LIFE,Individual Single Premium,3.52,35238972.36,94,NULL,JUL,2016,7/1/2016,374882
ADITYA BIRLA SUN LIFE,Individual Non-Single Premium,49.12,491154437.8,20900,NULL,JUL,2016,7/1/2016,23500
ADITYA BIRLA SUN LIFE,Group Single Premium,1.53,15271527.65,0,3774,JUL,2016,7/1/2016,NULL
ADITYA BIRLA SUN LIFE,Group Non-Single Premium,70.29,702917380.3,24,77688,JUL,2016,7/1/2016,29288224
ADITYA BIRLA SUN LIFE,Individual Single Premium,2.25,22494919.72,80,0,JUL,2017,7/1/2017,281186
ADITYA BIRLA SUN LIFE,Individual Non-Single Premium,56.05,560473385,19459,0,JUL,2017,7/1/2017,28802
ADITYA BIRLA SUN LIFE,Group Single Premium,83.33,833283458.2,3,48360,JUL,2017,7/1/2017,277761152
ADITYA BIRLA SUN LIFE,Group Non-Single Premium,45.85,458479119,3,407,JUL,2017,7/1/2017,152826373
ADITYA BIRLA SUN LIFE,Group Yearly Renewable Premium,8.14,81368661.26,77,138024,JUL,2017,7/1/2017,1056735
ADITYA BIRLA SUN LIFE,Individual Single Premium,0.68,6785099.55,499,NULL,JUN,2010,6/1/2010,13597
ADITYA BIRLA SUN LIFE,Individual Non-Single Premium,209.83,2098319545,111999,NULL,JUN,2010,6/1/2010,18735
ADITYA BIRLA SUN LIFE,Group Single Premium,0.57,5701768.48,1,118,JUN,2010,6/1/2010,5701768
ADITYA BIRLA SUN LIFE,Group Non-Single Premium,14.83,148291696.7,28,56870,JUN,2010,6/1/2010,5296132
ADITYA BIRLA SUN LIFE,Individual Single Premium,4.31,43061080.05,83,NULL,DEC,2011,12/1/2011,518808
ADITYA BIRLA SUN LIFE,Individual Non-Single Premium,97.68,976812968.7,80458,NULL,DEC,2011,12/1/2011,12140
ADITYA BIRLA SUN LIFE,Group Single Premium,0.36,3565835.02,0,74,DEC,2011,12/1/2011,NULL
ADITYA BIRLA SUN LIFE,Group Non-Single Premium,164.17,1641658476,44,176761,DEC,2011,12/1/2011,37310419
ADITYA BIRLA SUN LIFE,Individual Single Premium,1.78,17781795.87,75,NULL,DEC,2012,12/1/2012,237090
ADITYA BIRLA SUN LIFE,Individual Non-Single Premium,88.35,883544700,45695,NULL,DEC,2012,12/1/2012,19335
ADITYA BIRLA SUN LIFE,Group Single Premium,0.37,3729853.65,0,125,DEC,2012,12/1/2012,NULL
ADITYA BIRLA SUN LIFE,Group Non-Single Premium,59.95,599547237.4,30,37553,DEC,2012,12/1/2012,19984907
ADITYA BIRLA SUN LIFE,Individual Single Premium,2.62,26185487.97,85,NULL,MAY,2017,5/1/2017,308064
